model_name,steps,num_images,avg_clip_score,min_clip_score,max_clip_score
ddim_sd15,1,50,12.2838,7.3784,18.5215
ddim_sd15,2,50,13.7659,5.9532,23.6665
ddim_sd15,4,50,25.2557,18.1191,33.8309
ddim_sd15,8,50,26.7457,20.2031,34.5712
ddim_sdxl,1,50,12.1635,6.51,17.6613
ddim_sdxl,2,50,12.969,6.7087,17.9312
ddim_sdxl,4,50,20.3842,9.9904,29.7014
ddim_sdxl,8,50,26.8916,21.481,36.6914
sd15_lcm,1,50,22.0258,12.0593,29.667
sd15_lcm,2,50,24.9434,17.4841,32.1844
sd15_lcm,4,50,24.9743,17.0141,32.193
sd15_lcm,8,50,25.1832,16.5745,31.647
sdxl_lcm,1,50,23.6444,13.8813,31.4352
sdxl_lcm,2,50,26.1696,19.0581,34.6194
sdxl_lcm,4,50,26.0938,20.3853,32.7137
sdxl_lcm,8,50,25.8684,20.174,33.2191
sdxl_turbo,1,50,26.7178,20.8743,33.619
sdxl_turbo,2,50,26.3666,19.7353,34.7433
sdxl_turbo,4,50,26.4563,20.7825,37.0899
