model_name,steps,num_generated,num_reference,fid_score
ddim_sd15,1,5,500,638.9324
ddim_sd15,2,5,500,605.7333
ddim_sd15,4,5,500,501.103
ddim_sd15,8,5,500,502.4499
ddim_sdxl,1,5,500,589.7092
ddim_sdxl,2,5,500,567.6629
ddim_sdxl,4,5,500,506.0344
ddim_sdxl,8,5,500,466.0587
sd15_lcm,1,5,500,501.2019
sd15_lcm,2,5,500,444.5424
sd15_lcm,4,5,500,467.5123
sd15_lcm,8,5,500,430.8513
sdxl_lcm,1,5,500,503.5443
sdxl_lcm,2,5,500,489.0694
sdxl_lcm,4,5,500,489.4044
sdxl_lcm,8,5,500,475.8315
sdxl_turbo,1,5,500,490.121
sdxl_turbo,2,5,500,467.9592
sdxl_turbo,4,5,500,496.0592
