model_name,method_name,device,steps,guidance_scale,width,height,num_prompts,warmup_runs,total_time_sec,avg_latency_sec,min_latency_sec,max_latency_sec,throughput_img_per_sec,peak_memory_mb
sd15_lcm,sd15_lcm,cuda:0,1,1.0,512,512,5,1,1.069528,0.213888,0.204161,0.224159,4.674962,2817.3
sd15_lcm,sd15_lcm,cuda:0,2,1.0,512,512,5,1,1.625853,0.325157,0.314422,0.333518,3.07531,2817.3
sd15_lcm,sd15_lcm,cuda:0,4,1.0,512,512,5,1,2.862557,0.572497,0.55573,0.592639,1.74669,2817.3
sd15_lcm,sd15_lcm,cuda:0,8,1.0,512,512,5,1,5.286337,1.057255,1.034962,1.116888,0.945835,2817.3
sdxl_lcm,sdxl_lcm,cuda:0,1,1.0,1024,1024,5,1,4.825825,0.965151,0.850377,1.073763,1.036092,11115.55
sdxl_lcm,sdxl_lcm,cuda:0,2,1.0,1024,1024,5,1,6.647074,1.329395,1.221408,1.426635,0.752211,11115.55
sdxl_lcm,sdxl_lcm,cuda:0,4,1.0,1024,1024,5,1,10.458387,2.091664,1.98605,2.135621,0.478085,11115.55
sdxl_lcm,sdxl_lcm,cuda:0,8,1.0,1024,1024,5,1,17.356218,3.471222,3.343351,3.634763,0.288081,11115.55
ddim_sd15,ddim_sd15,cuda:0,1,7.5,512,512,5,1,0.861642,0.172315,0.166408,0.178508,5.802873,2676.32
ddim_sd15,ddim_sd15,cuda:0,2,7.5,512,512,5,1,1.264665,0.25292,0.241257,0.262033,3.953616,2676.32
ddim_sd15,ddim_sd15,cuda:0,4,7.5,512,512,5,1,2.141473,0.428281,0.414786,0.443016,2.334842,2676.32
ddim_sd15,ddim_sd15,cuda:0,8,7.5,512,512,5,1,3.685709,0.737128,0.722143,0.752778,1.356591,2676.32
ddim_sdxl,ddim_sdxl,cuda:0,1,7.5,1024,1024,5,1,3.6739,0.734768,0.712302,0.766054,1.360951,10737.26
ddim_sdxl,ddim_sdxl,cuda:0,2,7.5,1024,1024,5,1,5.186714,1.037324,1.009869,1.085132,0.964001,10737.26
ddim_sdxl,ddim_sdxl,cuda:0,4,7.5,1024,1024,5,1,7.981109,1.596207,1.527891,1.657894,0.626479,10737.26
ddim_sdxl,ddim_sdxl,cuda:0,8,7.5,1024,1024,5,1,14.394423,2.87887,2.587195,3.18665,0.347357,10737.26
sdxl_turbo,sdxl_turbo,cuda:0,1,0.0,512,512,5,1,1.726728,0.345332,0.331807,0.356805,2.895651,7857.21
sdxl_turbo,sdxl_turbo,cuda:0,2,0.0,512,512,5,1,2.660917,0.532168,0.513144,0.568099,1.879051,7857.21
sdxl_turbo,sdxl_turbo,cuda:0,4,0.0,512,512,5,1,4.278287,0.855645,0.8187,0.935704,1.168692,7857.21
sd15_lcm,sd15_lcm,cuda:0,1,1.0,512,512,5,1,1.047192,0.209421,0.203593,0.215685,4.774675,2816.3
sd15_lcm,sd15_lcm,cuda:0,2,1.0,512,512,5,1,1.571611,0.314304,0.312265,0.316961,3.181448,2816.3
sd15_lcm,sd15_lcm,cuda:0,4,1.0,512,512,5,1,2.529538,0.505894,0.487998,0.525948,1.976645,2816.3
sd15_lcm,sd15_lcm,cuda:0,8,1.0,512,512,5,1,4.377858,0.875558,0.862305,0.881166,1.142111,2816.3
sdxl_lcm,sdxl_lcm,cuda:0,1,1.0,1024,1024,5,1,48.531348,9.706248,9.684156,9.728431,0.103026,11370.54
sdxl_lcm,sdxl_lcm,cuda:0,2,1.0,1024,1024,5,1,49.791915,9.958367,9.933855,9.996724,0.100418,11370.54
sdxl_lcm,sdxl_lcm,cuda:0,4,1.0,1024,1024,5,1,53.088482,10.617684,10.588169,10.68153,0.094182,11370.54
sdxl_lcm,sdxl_lcm,cuda:0,8,1.0,1024,1024,5,1,59.155868,11.83116,11.790611,11.851134,0.084522,11370.54
ddim_sd15,ddim_sd15,cuda:0,1,7.5,512,512,5,1,0.967609,0.193498,0.189641,0.197986,5.167375,2675.32
ddim_sd15,ddim_sd15,cuda:0,2,7.5,512,512,5,1,1.422505,0.284485,0.271247,0.302338,3.514926,2675.32
ddim_sd15,ddim_sd15,cuda:0,4,7.5,512,512,5,1,2.148544,0.429685,0.415928,0.451931,2.327157,2675.32
ddim_sd15,ddim_sd15,cuda:0,8,7.5,512,512,5,1,3.769583,0.753899,0.729992,0.797173,1.326407,2675.32
ddim_sdxl,ddim_sdxl,cuda:0,1,7.5,1024,1024,5,1,48.702713,9.740527,9.725553,9.760234,0.102664,10992.76
ddim_sdxl,ddim_sdxl,cuda:0,2,7.5,1024,1024,5,1,46.518705,9.303727,9.284161,9.363779,0.107484,10992.76
ddim_sdxl,ddim_sdxl,cuda:0,4,7.5,1024,1024,5,1,48.736281,9.747242,9.673962,9.984603,0.102593,10992.76
ddim_sdxl,ddim_sdxl,cuda:0,8,7.5,1024,1024,5,1,58.263742,11.652735,11.435498,11.900764,0.085817,10992.76
sdxl_turbo,sdxl_turbo,cuda:0,1,0.0,512,512,5,1,1.604984,0.320983,0.318163,0.32345,3.115296,7921.71
sdxl_turbo,sdxl_turbo,cuda:0,2,0.0,512,512,5,1,2.322637,0.464514,0.458153,0.482945,2.152726,7921.71
sdxl_turbo,sdxl_turbo,cuda:0,4,0.0,512,512,5,1,3.779992,0.755985,0.746112,0.76717,1.322754,7921.71
